event_id,cell,window_days,baseline_rule,event_type,market_kind,n_pairs,tier,abn_event,abn_event_logodds,t50_event
dlo_six_team_trade_xd,cross_sports_on_macro,5,strict,unscheduled_sports,macro_bucket,2,M?,-0.06899003623188402,-0.15287776003347087,3.1166666666666667
donovan_mitchell_extension,unsched_sports,1,strict,unscheduled_sports,sports_future,30,S1,-0.004222222222222223,0.026076221398435108,17.983333333333334
donovan_mitchell_extension,unsched_sports,3,strict,unscheduled_sports,sports_future,30,S1,-0.0039679487179487185,0.00046620188665268656,17.983333333333334
donovan_mitchell_extension,unsched_sports,5,strict,unscheduled_sports,sports_future,30,S1,-0.004160256410256411,0.001527267088445297,17.983333333333334
donovan_mitchell_extension_xd,cross_sports_on_macro,1,strict,unscheduled_sports,macro_bucket,2,M?,-0.09149003623188395,-0.18853647511213756,17.983333333333334
donovan_mitchell_extension_xd,cross_sports_on_macro,3,strict,unscheduled_sports,macro_bucket,2,M?,-0.09399003623188396,-0.3535037718849402,17.983333333333334
donovan_mitchell_extension_xd,cross_sports_on_macro,5,strict,unscheduled_sports,macro_bucket,2,M?,-0.06899003623188402,-0.15287776003347087,17.983333333333334
fomc_sep_hike,sched_macro,1,strict,scheduled_macro,macro_bucket,80,M3,0.08819285550663952,0.6682316511668079,10.0
fomc_sep_hike,sched_macro,3,strict,scheduled_macro,macro_bucket,80,M3,0.09255994411423447,0.7166481200769582,10.0
fomc_sep_hike,sched_macro,5,strict,scheduled_macro,macro_bucket,80,M3,0.09481498613279304,0.7423393957456451,10.0
giannis_to_heat,unsched_sports,1,thin_d16,unscheduled_sports,sports_future,26,S1,-0.003666666666666667,-0.103750290219973,0.16666666666666666
giannis_to_heat,unsched_sports,3,thin_d16,unscheduled_sports,sports_future,26,S1,-0.005833333333333334,-0.1730728648751395,0.16666666666666666
giannis_to_heat,unsched_sports,5,thin_d16,unscheduled_sports,sports_future,26,S1,-0.006410256410256411,-0.16277817590268978,0.16666666666666666
giannis_to_heat_xd,cross_sports_on_macro,1,strict,unscheduled_sports,macro_bucket,2,M?,-0.21107638888888886,-1.104809204180631,0.16666666666666666
giannis_to_heat_xd,cross_sports_on_macro,3,strict,unscheduled_sports,macro_bucket,2,M?,-0.22357638888888884,-1.1251409360401095,0.16666666666666666
giannis_to_heat_xd,cross_sports_on_macro,5,strict,unscheduled_sports,macro_bucket,2,M?,-0.1860763888888889,-0.9352650241697172,0.16666666666666666
hormuz_retaliation_threat,unsched_macro,1,strict,unscheduled_macro,macro_bucket,84,M3,0.02252855845557172,0.17821425160256932,14.116666666666667
hormuz_retaliation_threat,unsched_macro,3,strict,unscheduled_macro,macro_bucket,133,M3,0.01557939301048724,0.1580679015472745,38.11666666666667
hormuz_retaliation_threat,unsched_macro,5,strict,unscheduled_macro,macro_bucket,138,M3,0.03588692839618634,0.28190732850748956,38.11666666666667
hormuz_retaliation_threat_xd,cross_macro_on_sports,1,strict,unscheduled_macro,sports_future,15,S1,0.00207017543859649,0.03274607347435004,14.116666666666667
hormuz_retaliation_threat_xd,cross_macro_on_sports,3,strict,unscheduled_macro,sports_future,16,S1,0.0027368421052631556,0.04181492782041071,14.116666666666667
hormuz_retaliation_threat_xd,cross_macro_on_sports,5,strict,unscheduled_macro,sports_future,16,S1,0.0010701754385964908,0.059124970522440944,38.11666666666667
hormuz_strike_pipeline_shutdown,unsched_macro,1,strict,unscheduled_macro,macro_bucket,128,M3,0.01574454945759466,0.1441352894878223,4.0
hormuz_strike_pipeline_shutdown,unsched_macro,3,strict,unscheduled_macro,macro_bucket,136,M3,0.03762272168281558,0.289821645055187,4.0
hormuz_strike_pipeline_shutdown,unsched_macro,5,strict,unscheduled_macro,macro_bucket,137,M3,0.04408354607533409,0.34431987749615,28.0
hormuz_strike_pipeline_shutdown_xd,cross_macro_on_sports,1,strict,unscheduled_macro,sports_future,16,S1,0.0023166666666666657,0.0348850510666664,4.0
hormuz_strike_pipeline_shutdown_xd,cross_macro_on_sports,3,strict,unscheduled_macro,sports_future,16,S1,0.0006499999999999988,0.057378410614369366,28.0
hormuz_strike_pipeline_shutdown_xd,cross_macro_on_sports,5,strict,unscheduled_macro,sports_future,16,S1,-1.5625000000002616e-05,0.05499242626207203,28.0
jaylen_brown_to_76ers,unsched_sports,1,strict,unscheduled_sports,sports_future,30,S1,0.0006089743589743576,0.12458196176295101,5.666666666666667
jaylen_brown_to_76ers,unsched_sports,3,strict,unscheduled_sports,sports_future,30,S1,0.00020833333333333318,0.09441299759347281,5.666666666666667
jaylen_brown_to_76ers,unsched_sports,5,strict,unscheduled_sports,sports_future,30,S1,0.00038690476190476143,0.09788113398758543,5.666666666666667
jaylen_brown_to_76ers_xd,cross_sports_on_macro,1,strict,unscheduled_sports,macro_bucket,2,M?,-0.10529411764705882,-0.31704575858096296,5.666666666666667
jaylen_brown_to_76ers_xd,cross_sports_on_macro,3,strict,unscheduled_sports,macro_bucket,2,M?,-0.16779411764705884,-0.6827351376654047,5.666666666666667
jaylen_brown_to_76ers_xd,cross_sports_on_macro,5,strict,unscheduled_sports,macro_bucket,2,M?,-0.15529411764705886,-0.5971567752135263,5.666666666666667
jordan_walsh_extension,unsched_sports,1,strict,unscheduled_sports,sports_future,30,S1,-0.0029361111111111107,-0.07393043930469394,15.55
jordan_walsh_extension,unsched_sports,3,strict,unscheduled_sports,sports_future,30,S1,-0.004761494252873563,-0.19936846441596662,15.55
jordan_walsh_extension,unsched_sports,5,strict,unscheduled_sports,sports_future,30,S1,-0.004733974358974357,-0.18807715988370888,15.55
jordan_walsh_extension_xd,cross_sports_on_macro,1,strict,unscheduled_sports,macro_bucket,4,M?,0.06740036231884057,1.4149504408039342,15.55
jordan_walsh_extension_xd,cross_sports_on_macro,3,strict,unscheduled_sports,macro_bucket,4,M?,0.07073369565217391,1.5886270387840116,15.55
jordan_walsh_extension_xd,cross_sports_on_macro,5,strict,unscheduled_sports,macro_bucket,4,M?,0.10610054347826087,2.3829405581760175,15.55
kawhi_to_raptors,unsched_sports,1,strict,unscheduled_sports,sports_future,29,S1,-0.0007879227053140116,0.016020291683710046,9.066666666666666
kawhi_to_raptors,unsched_sports,3,strict,unscheduled_sports,sports_future,29,S1,-0.0018409420289855081,-0.02665552482394597,9.066666666666666
kawhi_to_raptors,unsched_sports,5,strict,unscheduled_sports,sports_future,29,S1,-0.0013896480331262967,-0.02426131244317214,9.066666666666666
lebron_to_76ers,unsched_sports,1,strict,unscheduled_sports,sports_future,30,S1,-0.0044425,-0.18062904617856645,7.433333333333334
lebron_to_76ers,unsched_sports,3,strict,unscheduled_sports,sports_future,30,S1,-0.004195370370370371,-0.18689184441359383,7.433333333333334
lebron_to_76ers,unsched_sports,5,strict,unscheduled_sports,sports_future,30,S1,-0.004595689655172414,-0.18336425356818448,7.433333333333334
lebron_to_76ers_xd,cross_sports_on_macro,1,strict,unscheduled_sports,macro_bucket,4,M?,0.06163043478260869,1.4928701222068963,7.433333333333334
lebron_to_76ers_xd,cross_sports_on_macro,3,strict,unscheduled_sports,macro_bucket,4,M?,0.04747282608695652,1.2222846941713503,7.433333333333334
lebron_to_76ers_xd,cross_sports_on_macro,5,strict,unscheduled_sports,macro_bucket,4,M?,0.06163043478260869,1.4928701222068963,7.433333333333334
mike_conley_to_celtics,unsched_sports,1,strict,unscheduled_sports,sports_future,30,S1,0.0006089743589743576,0.12458196176295101,13.033333333333333
mike_conley_to_celtics,unsched_sports,3,strict,unscheduled_sports,sports_future,30,S1,0.00020833333333333318,0.09441299759347281,13.033333333333333
mike_conley_to_celtics,unsched_sports,5,strict,unscheduled_sports,sports_future,30,S1,0.00038690476190476143,0.09788113398758543,13.033333333333333
mike_conley_to_celtics_xd,cross_sports_on_macro,1,strict,unscheduled_sports,macro_bucket,2,M?,-0.10529411764705882,-0.31704575858096296,13.033333333333333
mike_conley_to_celtics_xd,cross_sports_on_macro,3,strict,unscheduled_sports,macro_bucket,2,M?,-0.16779411764705884,-0.6827351376654047,13.033333333333333
mike_conley_to_celtics_xd,cross_sports_on_macro,5,strict,unscheduled_sports,macro_bucket,2,M?,-0.15529411764705886,-0.5971567752135263,13.033333333333333
mitchell_robinson_to_celtics,unsched_sports,1,strict,unscheduled_sports,sports_future,30,S1,0.0006089743589743576,0.12458196176295101,12.35
mitchell_robinson_to_celtics,unsched_sports,3,strict,unscheduled_sports,sports_future,30,S1,0.00020833333333333318,0.09441299759347281,12.35
mitchell_robinson_to_celtics,unsched_sports,5,strict,unscheduled_sports,sports_future,30,S1,0.00038690476190476143,0.09788113398758543,12.35
mitchell_robinson_to_celtics_xd,cross_sports_on_macro,1,strict,unscheduled_sports,macro_bucket,2,M?,-0.10529411764705882,-0.31704575858096296,12.35
mitchell_robinson_to_celtics_xd,cross_sports_on_macro,3,strict,unscheduled_sports,macro_bucket,2,M?,-0.16779411764705884,-0.6827351376654047,12.35
mitchell_robinson_to_celtics_xd,cross_sports_on_macro,5,strict,unscheduled_sports,macro_bucket,2,M?,-0.15529411764705886,-0.5971567752135263,12.35
mlb_allstar_2026,sched_sports,1,strict,scheduled_sports,sports_future,30,S1,-4.981463813547816e-05,-0.1348977142366517,4.0
mlb_allstar_2026,sched_sports,3,strict,scheduled_sports,sports_future,30,S1,-0.0003314874835309629,-0.09892987024109864,4.0
mlb_allstar_2026,sched_sports,5,strict,scheduled_sports,sports_future,30,S1,0.00010428571428571351,-0.08569722317892112,4.0
myles_garrett_to_rams,unsched_sports,1,strict,unscheduled_sports,sports_future,32,S1,0.0006124999999999997,-0.026585181722424064,10.683333333333334
myles_garrett_to_rams,unsched_sports,3,strict,unscheduled_sports,sports_future,32,S1,0.0002999999999999994,-0.028910971081413203,10.683333333333334
myles_garrett_to_rams,unsched_sports,5,strict,unscheduled_sports,sports_future,32,S1,0.0002999999999999994,-0.028910971081413203,10.683333333333334
myles_garrett_to_rams_xd,cross_sports_on_macro,1,strict,unscheduled_sports,macro_bucket,1,M?,0.008157894736841809,0.6047947815106745,10.683333333333334
myles_garrett_to_rams_xd,cross_sports_on_macro,3,strict,unscheduled_sports,macro_bucket,2,M?,0.00963450292397644,0.893047899219402,34.68333333333333
myles_garrett_to_rams_xd,cross_sports_on_macro,5,strict,unscheduled_sports,macro_bucket,2,M?,0.00963450292397644,0.893047899219402,34.68333333333333
nba_draft_2026,sched_sports,1,thin_d16,scheduled_sports,sports_future,26,S1,-0.005625000000000001,-0.15420599647068298,4.0
nba_draft_2026,sched_sports,3,thin_d16,scheduled_sports,sports_future,26,S1,-0.0054326923076923085,-0.12608605460592784,4.0
nba_draft_2026,sched_sports,5,thin_d16,scheduled_sports,sports_future,26,S1,-0.005048076923076923,-0.12072503468401548,4.0
nba_draft_lottery_2026,sched_sports,1,strict,scheduled_sports,sports_future,8,S1,0.024274999999999998,-0.005836196806770971,4.0
nba_draft_lottery_2026,sched_sports,3,strict,scheduled_sports,sports_future,8,S1,0.026150000000000003,-0.02191514491806859,4.0
nba_draft_lottery_2026,sched_sports,5,strict,scheduled_sports,sports_future,8,S1,0.02115,-0.10504274927820023,4.0
nba_schedule_release,sched_sports,1,strict,scheduled_sports,sports_future,30,S1,-0.0011435606060606054,-0.11092204715753545,8.866666666666667
nba_schedule_release,sched_sports,3,strict,scheduled_sports,sports_future,30,S1,-0.0017363181504485847,-0.13861844559959263,8.866666666666667
nba_schedule_release,sched_sports,5,strict,scheduled_sports,sports_future,30,S1,-0.0020526515151515147,-0.13173915126035945,8.866666666666667
neemias_queta_extension,unsched_sports,1,strict,unscheduled_sports,sports_future,30,S1,0.0005635435992578837,0.09992313004975084,14.116666666666667
neemias_queta_extension,unsched_sports,3,strict,unscheduled_sports,sports_future,30,S1,0.0007421150278293115,0.10339126644386344,14.116666666666667
neemias_queta_extension,unsched_sports,5,strict,unscheduled_sports,sports_future,30,S1,-0.004266528925619837,0.06017658817303471,14.116666666666667
neemias_queta_extension_xd,cross_sports_on_macro,1,strict,unscheduled_sports,macro_bucket,2,M?,-0.15801315789473677,-0.6383737492829961,14.116666666666667
neemias_queta_extension_xd,cross_sports_on_macro,3,strict,unscheduled_sports,macro_bucket,2,M?,-0.1455131578947368,-0.5527953868311177,38.11666666666667
neemias_queta_extension_xd,cross_sports_on_macro,5,strict,unscheduled_sports,macro_bucket,2,M?,-0.11051315789473676,-0.26070136060674653,62.11666666666666
nfl_kickoff,sched_sports,1,strict,scheduled_sports,sports_future,32,S1,0.0005374999999999976,0.004990580819524304,3.6666666666666665
nfl_kickoff,sched_sports,3,strict,scheduled_sports,sports_future,32,S1,0.00022499999999999853,0.024870241580033627,3.6666666666666665
nfl_kickoff,sched_sports,5,strict,scheduled_sports,sports_future,32,S1,0.00022499999999999864,0.015765891484047112,99.66666666666667
nvda_earnings,unsched_macro,1,strict,unscheduled_macro,macro_bucket,91,M?,-0.005613402746981751,0.05101057512304181,4.0
nvda_earnings,unsched_macro,3,strict,unscheduled_macro,macro_bucket,121,M?,-0.0036638537978457442,0.038823587557247505,4.0
nvda_earnings,unsched_macro,5,strict,unscheduled_macro,macro_bucket,122,M?,0.011779270857898719,0.15471089584665776,28.0
nvda_earnings_xd,cross_macro_on_sports,1,strict,unscheduled_macro,sports_future,16,S1,0.0007207843137254869,0.04568914063850603,4.0
nvda_earnings_xd,cross_macro_on_sports,3,strict,unscheduled_macro,sports_future,16,S1,5.0735294117645164e-05,0.037930055843708246,4.0
nvda_earnings_xd,cross_macro_on_sports,5,strict,unscheduled_macro,sports_future,16,S1,0.0007207843137254869,0.05730568648251656,4.0
perim_island_seized,unsched_macro,1,strict,unscheduled_macro,macro_bucket,134,M3,0.02634318157691841,0.24281585051339002,4.0
perim_island_seized,unsched_macro,3,strict,unscheduled_macro,macro_bucket,137,M3,0.04303155611061713,0.33431840758782966,4.0
perim_island_seized,unsched_macro,5,strict,unscheduled_macro,macro_bucket,139,M3,0.045241008667092096,0.4388149132590812,28.0
perim_island_seized_xd,cross_macro_on_sports,1,strict,unscheduled_macro,sports_future,16,S1,0.0017821428571428563,0.053282375300276144,4.0
perim_island_seized_xd,cross_macro_on_sports,3,strict,unscheduled_macro,sports_future,16,S1,0.0005321428571428562,0.05192551148986399,4.0
perim_island_seized_xd,cross_macro_on_sports,5,strict,unscheduled_macro,sports_future,16,S1,0.001567619047619046,0.09114883731572017,4.0
russia_sanctions_bill,unsched_macro,1,strict,unscheduled_macro,macro_bucket,106,M?,0.051188685543019426,0.4836960115210651,4.0
russia_sanctions_bill,unsched_macro,3,strict,unscheduled_macro,macro_bucket,119,M?,0.08123791666712497,0.7544464516441062,28.0
russia_sanctions_bill,unsched_macro,5,strict,unscheduled_macro,macro_bucket,119,M?,0.07136712284528982,0.6895167338193697,28.0
russia_sanctions_bill_xd,cross_macro_on_sports,1,strict,unscheduled_macro,sports_future,15,S1,0.001106666666666666,0.08008353240894699,4.0
russia_sanctions_bill_xd,cross_macro_on_sports,3,strict,unscheduled_macro,sports_future,15,S1,0.002106666666666667,0.0799629565389761,4.0
russia_sanctions_bill_xd,cross_macro_on_sports,5,strict,unscheduled_macro,sports_future,15,S1,0.002773333333333332,0.09752539156955893,4.0
tariff_eu_threat,unsched_macro,1,strict,unscheduled_macro,macro_bucket,106,M?,0.051188685543019426,0.4836960115210651,4.0
tariff_eu_threat,unsched_macro,3,strict,unscheduled_macro,macro_bucket,119,M?,0.08123791666712497,0.7544464516441062,28.0
tariff_eu_threat,unsched_macro,5,strict,unscheduled_macro,macro_bucket,119,M?,0.07136712284528982,0.6895167338193697,28.0
tariff_eu_threat_xd,cross_macro_on_sports,1,strict,unscheduled_macro,sports_future,15,S1,0.001106666666666666,0.08008353240894699,4.0
tariff_eu_threat_xd,cross_macro_on_sports,3,strict,unscheduled_macro,sports_future,15,S1,0.002106666666666667,0.0799629565389761,4.0
tariff_eu_threat_xd,cross_macro_on_sports,5,strict,unscheduled_macro,sports_future,15,S1,0.002773333333333332,0.09752539156955893,4.0
trump_truth_fed,unsched_macro,1,strict,unscheduled_macro,macro_bucket,67,M?,0.059518799878723154,0.444701329231273,4.0
trump_truth_fed,unsched_macro,3,strict,unscheduled_macro,macro_bucket,79,M?,0.09467865314995648,0.7257773446039121,28.0
trump_truth_fed,unsched_macro,5,strict,unscheduled_macro,macro_bucket,79,M?,0.0971907135804754,0.7589816878433127,28.0
trump_truth_fed_xd,cross_macro_on_sports,1,strict,unscheduled_macro,sports_future,15,S1,0.001106666666666666,0.08008353240894699,4.0
trump_truth_fed_xd,cross_macro_on_sports,3,strict,unscheduled_macro,sports_future,15,S1,0.002106666666666667,0.0799629565389761,4.0
trump_truth_fed_xd,cross_macro_on_sports,5,strict,unscheduled_macro,sports_future,15,S1,0.002773333333333332,0.09752539156955893,4.0
von_miller_to_cowboys,unsched_sports,1,strict,unscheduled_sports,sports_future,32,S1,0.00039999999999999996,0.0032224891997428423,2.8333333333333335
von_miller_to_cowboys,unsched_sports,3,strict,unscheduled_sports,sports_future,32,S1,-6.874999999999958e-05,-0.0027944851867294784,2.8333333333333335
von_miller_to_cowboys,unsched_sports,5,strict,unscheduled_sports,sports_future,32,S1,0.00041290322580645155,0.003326440464250676,2.8333333333333335
von_miller_to_cowboys_xd,cross_sports_on_macro,1,strict,unscheduled_sports,macro_bucket,1,M?,,,
von_miller_to_cowboys_xd,cross_sports_on_macro,3,strict,unscheduled_sports,macro_bucket,3,M?,-0.2940909090909091,-3.7672275146051346,50.833333333333336
von_miller_to_cowboys_xd,cross_sports_on_macro,5,strict,unscheduled_sports,macro_bucket,3,M?,-0.25464285714285717,-2.5545520329596703,26.833333333333332
